#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_000913.3",190,255,"+",944742,"thrL","b0001","NP_414542.1",21,"thr operon leader peptide"
"chromosome","NC_000913.3",337,2799,"+",945803,"thrA","b0002","NP_414543.1",820,"fused aspartate kinase/homoserine dehydrogenase 1"
"chromosome","NC_000913.3",2801,3733,"+",947498,"thrB","b0003","NP_414544.1",310,"homoserine kinase"
"chromosome","NC_000913.3",3734,5020,"+",945198,"thrC","b0004","NP_414545.1",428,"threonine synthase"
"chromosome","NC_000913.3",5234,5530,"+",944747,"yaaX","b0005","NP_414546.1",98,"DUF2502 domain-containing protein YaaX"
"chromosome","NC_000913.3",5683,6459,"-",944749,"yaaA","b0006","NP_414547.1",258,"DNA binding and peroxide stress response protein YaaA"
"chromosome","NC_000913.3",6529,7959,"-",944745,"yaaJ","b0007","NP_414548.1",476,"putative transporter YaaJ"
"chromosome","NC_000913.3",8238,9191,"+",944748,"talB","b0008","NP_414549.1",317,"transaldolase B"
"chromosome","NC_000913.3",9306,9893,"+",944760,"mog","b0009","NP_414550.1",195,"molybdopterin adenylyltransferase"
"chromosome","NC_000913.3",9928,10494,"-",944792,"satP","b0010","NP_414551.1",188,"acetate/succinate:H(+) symporter"
"chromosome","NC_000913.3",10643,11356,"-",944771,"yaaW","b0011","NP_414552.1",237,"putative enzyme-specific chaperone YaaW"
"chromosome","NC_000913.3",10830,11315,"+",948295,"mbiA","b0012","YP_009518733.1",161,"uncharacterized protein MbiA"
"chromosome","NC_000913.3",11382,11786,"-",944751,"yaaI","b0013","NP_414554.1",134,"DUF2541 domain-containing protein YaaI"
"chromosome","NC_000913.3",12163,14079,"+",944750,"dnaK","b0014","NP_414555.1",638,"chaperone protein DnaK"
"chromosome","NC_000913.3",14168,15298,"+",944753,"dnaJ","b0015","NP_414556.1",376,"chaperone protein DnaJ"
"chromosome","NC_000913.3",15445,16557,"+",944754,"insL1","b0016","NP_414557.1",370,"IS186/IS421 family transposase"
"chromosome","NC_000913.3",16751,16960,"-",944756,"mokC","b0018","NP_414559.1",69,"regulatory protein MokC"
"chromosome","NC_000913.3",16751,16903,"-",2847744,"hokC","b4412","YP_025292.1",50,"protein HokC"
"chromosome","NC_000913.3",17489,18655,"+",944758,"nhaA","b0019","NP_414560.1",388,"Na(+):H(+) antiporter NhaA"
"chromosome","NC_000913.3",18715,19620,"+",944757,"nhaR","b0020","NP_414561.1",301,"DNA-binding transcriptional activator NhaR"
"chromosome","NC_000913.3",19811,20314,"-",944743,"insB1","b0021","NP_414562.1",167,"IS1 family protein InsB"
"chromosome","NC_000913.3",20233,20508,"-",948449,"insA1","b0022","NP_414563.1",91,"IS1 family protein InsA"
"chromosome","NC_000913.3",20815,21078,"-",944759,"rpsT","b0023","NP_414564.1",87,"30S ribosomal subunit protein S20"
"chromosome","NC_000913.3",21181,21399,"+",949128,"yaaY","b0024","NP_414565.1",72,"DUF2575 domain-containing protein YaaY"
"chromosome","NC_000913.3",21407,22348,"+",949129,"ribF","b0025","NP_414566.1",313,"bifunctional riboflavin kinase/FMN adenylyltransferase"
"chromosome","NC_000913.3",22391,25207,"+",944761,"ileS","b0026","NP_414567.1",938,"isoleucine--tRNA ligase"
"chromosome","NC_000913.3",25207,25701,"+",944800,"lspA","b0027","NP_414568.1",164,"lipoprotein signal peptidase"
"chromosome","NC_000913.3",25826,26275,"+",944807,"fkpB","b0028","NP_414569.1",149,"peptidyl-prolyl cis-trans isomerase FkpB"
"chromosome","NC_000913.3",26277,27227,"+",944777,"ispH","b0029","NP_414570.1",316,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"chromosome","NC_000913.3",27293,28207,"+",944796,"rihC","b0030","NP_414571.1",304,"ribonucleoside hydrolase RihC"
"chromosome","NC_000913.3",28374,29195,"+",944762,"dapB","b0031","NP_414572.1",273,"4-hydroxy-tetrahydrodipicolinate reductase"
"chromosome","NC_000913.3",29651,30799,"+",949025,"carA","b0032","NP_414573.1",382,"carbamoyl-phosphate synthetase small subunit"
"chromosome","NC_000913.3",30817,34038,"+",944775,"carB","b0033","NP_414574.1",1073,"carbamoyl-phosphate synthetase large subunit"
"chromosome","NC_000913.3",34300,34695,"+",944795,"caiF","b0034","NP_414576.4",131,"DNA-binding transcriptional activator CaiF"
"chromosome","NC_000913.3",34781,35371,"-",948999,"caiE","b0035","NP_414577.2",196,"putative transferase CaiE"
"chromosome","NC_000913.3",35377,36162,"-",948995,"caiD","b0036","NP_414578.2",261,"crotonobetainyl-CoA hydratase"
"chromosome","NC_000913.3",36271,37824,"-",944886,"caiC","b0037","NP_414579.4",517,"carnitine--CoA ligase"
"chromosome","NC_000913.3",37898,39115,"-",948997,"caiB","b0038","NP_414580.1",405,"gamma-butyrobetainyl-CoA:carnitine CoA transferase"
"chromosome","NC_000913.3",39244,40386,"-",949064,"caiA","b0039","NP_414581.1",380,"crotonobetainyl-CoA reductase"
